FACILITYID,npl_prox
10000600,0.009211829102302733
10000601,0.02246708662882898
10000603,0.022540620050243945
10000605,0.05271373646318384
10000606,0.10604081717284373
10000613,0.009552806661829578
10000618,0.017795682547729494
10000621,0.015458919738058605
10000622,0.05233989891429059
10000624,0.09488589503715489
10000627,0.10253748505432263
10000628,0.09654856097776418
10000630,0.11137622356157154
10000632,0.013066686332331488
10000633,0.03998370657908604
10000635,0.04295799213963529
10000636,0.044106262265012956
10000638,0.07343010697699348
10000639,0.08447506254658921
10000641,0.13903815449864235
10000642,0.030313800532487622
10000644,0.03255872761706059
10000646,0.5496537961216909
10000647,0.17940648407459123
10000652,0.047949059269420544
10000653,0.32718703201620747
10000655,0.017865190853465385
10000657,0.014003283572929497
10000658,0.013233707698060366
10000659,0.013246478255140554
10000660,0.019995022901638224
10000662,0.09133558559245446
10000664,0.015619623801892711
10000665,0.01579075592628981
10000667,0.01855642511605993
10000669,0.019981622269165295
10000671,0.012864305108163285
10000672,0.016839631758545845
10000673,0.15067156497529438
10000674,0.8904237910082748
10000676,0.01327818930948028
10000677,0.027498553904485003
10000678,0.030741221518202685
10000679,0.03510554927884007
10000680,0.03440789601958869
10000682,0.05094403398237099
10000683,0.07704306767892109
10000685,0.31121686108042473
10000687,0.01812523053866057
10000688,0.02133960566913676
10000689,0.031137607235010564
10000691,0.04023389988673383
10000693,0.02481341093465986
10000694,0.11416001347161317
10000695,0.030338791661287737
10000699,0.40021823439160453
10000701,0.2371335548760752
10000702,0.4789450917886532
10000703,0.45486889683156917
10000705,0.03957113081097069
10000706,0.23961877307889212
10000707,0.25442068109905785
10000708,0.22987674650062337
10000709,0.09237106924274571
10000712,0.029898953295686856
10000713,0.030474821232684666
10000718,0.05718662500322453
10000719,0.06065039784885107
10000720,0.026407271873309705
10000721,0.03503478477883322
10000728,0.035528478416959205
10000729,0.030114358073706705
10000733,0.14984936369342416
10000737,0.023630174134645958
10000744,0.022802706865788693
10000745,0.08654512774930291
10000746,0.05887017211810233
10000750,0.09419734982580961
10000751,0.10169536355784708
10000752,0.04061158071166019
