FACILITYID,trafficProx
10000679,108.66635277013226
10001728,34.142470756206066
10003578,0
10001727,10.900704849032369
10000189,30.39288897610783
10000680,14.515395309692845
10000550,489.78743932919144
10006172,0
10003066,23.98139183814401
10006512,203.6480912232012
10000712,0
10003084,0
10001470,527.3060196229635
10000713,0
10003067,0
10001484,0
10004732,0
10003116,1763.5373200829606
10003229,6062.170604055571
10003075,0
10003662,0
10000955,0
10004330,0
10004331,0
10001029,55.648679403168934
10004089,0
10001337,129.62567189373647
10001941,72.80794346725261
10006197,0
10000968,0
10004659,363.581251025952
10000956,0
10000659,20.210803272018847
10001678,144.9047844496755
10006508,7.30722404295349
10000119,0
10001940,21.46805557757753
10001459,261.8520511202924
10000632,0
10002245,3490.608634894145
10003330,0
10000606,662.2382397722646
10000994,0
10002968,213.93729927172984
10002190,3343.264517053573
10001375,244.580148843367
10002135,27.643181208861794
10011321,69.28012495262372
10002084,58.61784349499449
10003826,59.81460177165473
10004646,0
10001387,102.75859578360402
10001366,76.17071321983921
10001342,73.32376940580926
10000273,54.97883619281814
10001357,61.385504102475316
10001364,12.658259024797397
10003846,252.45755822688335
10002287,0
10000269,221.26356934233112
10000267,12.65412682907185
10001361,0
10003818,0
10003165,13.486276250479017
10003136,0
10002908,53.01065852063033
10002964,24.696270217455243
10011319,0
10006211,0
10005784,0
10001324,615.3708462272114
10001322,0
10001331,35.39206724224211
10006549,129.17624652145003
10001631,131.48136672191725
10001617,11.791667961426699
10001626,0
10004043,23.337471927124138
10001606,244.9287621345538
10002405,0
10000942,0
10001624,80.07663531807619
10001612,203.18727872796504
10001622,0
10001615,25.246867608817716
10004065,0
10005849,0
10006558,54.2463906855494
10001216,795.234659775619
10003156,0
10001204,619.1234000088101
10000078,0
10001199,45.39074142284282
10001218,0
10004248,255.51098179005507
10000070,0
10000085,0
10006523,0
10001221,33.52183012762953
10001197,0
10006679,396.8968739117793
10000075,0
10006560,736.6712307777202
10000076,102.20322642610064
10006561,98.08453110496055
10000088,0
10001619,13.095174777937087
10006381,0
10000066,0
10000065,0
10000069,0
10000080,61.40497861166199
10001821,26.525825085812798
10001906,0
10001910,0
10001908,0
10000062,232.8856836366329
10004244,0
10001816,57.25103783616739
10001584,61.40375062680828
10000144,0
10001954,0
10004645,14.859941206783153
10001974,190.92625423559508
10000165,0
10006298,0
10005114,4.432555635452197
10000163,97.65082141354077
10006238,0
10001585,29.025595818359513
10000172,362.98718731709647
10002913,0
10002914,0
10000135,326.6539007875538
10003329,0
10001210,91.64233383656568
10001241,0
10000600,0
10003542,20.08888592484128
10001718,17.404617436677917
10001989,0
10000598,0
10002860,0
10001990,0
10002249,0
10003758,16.385237405502387
10001242,178.2148080175279
10001232,48.61209197231514
10000622,40.07428224031662
10000595,3.2588988615273515
10006519,0
10005113,9.943554177307416
10006365,511.9476294595888
10001240,0
10000330,0
10006386,0
10001239,450.95376326299527
10001235,27.216714280545688
10001237,0
10000510,38.29528219212699
10000618,41.212071678823726
10000542,351.62155727621507
10001279,108.53219985220153
10000370,0
10000191,94.68095970925835
10000365,22.09981894339928
10000327,30.958036526319017
10006655,0
10001586,13.56456462103069
10004255,0
10003160,346.16999878106003
10001804,0
10003579,0
10000577,0
10001808,6.664862875355757
10002949,0
10003793,0
10006515,0
10006305,0
10006308,0
10003175,0
10000628,0
10002247,1078.2959795851045
10000561,96.19324878327822
10000567,0
10004264,275.06689755777876
10000573,59.25625940371964
10000512,25.684958558562155
10006321,0
10002227,0
10000587,56.00382937744259
10000593,0
10000578,126.39475648991396
10000554,12.642776665477395
10003124,18.032298125354465
10000089,0
10000569,0
10000557,0
10000586,63.66253577888902
10001807,0
10000575,0
10000588,55.15478225630362
10002945,0
10003227,2542.4455383495338
10003196,0
10002230,75.81619793343008
10000375,777.7434822734571
10006505,0
10000934,0
10000937,75.10467009974249
10000540,748.8488346484577
10002398,323.54872405282777
10000564,76.46458733199553
10000761,40.023237224405044
10006304,40.42459971614605
10001820,28.739545725398358
10000933,49.67503754322283
10000928,0
10004018,0
10000927,16.064764236005743
10000939,109.17627242636931
10000699,66.3087679803112
10000219,83.17220698021967
10001734,3.0900115477702297
20000141,1290.6158389041989
10002262,0
20000142,0
10003591,0
10002397,0
10000926,578.9033971694574
10002226,0
10000357,0
10001647,0
20000903,0
10000703,602.8368427627752
20000902,0
10004608,534.9443989258106
10000702,308.8844014104261
10000705,166.27577651725684
10004625,0
10002260,622.5784011158598
10003962,0
10000351,0
10005219,591.3998899339424
10000429,14.052217147345512
10000706,818.180480806251
10000381,0
10006206,0
10000418,0
10003585,67.86937076898647
10000444,0
10000419,0
10006207,0
10000394,87.09885517259241
10001504,0
10000763,0
10002261,0
10004574,0
10000701,45.00143858251571
10003140,30.50463444632099
10000494,0
10000465,47.92413470348456
10000453,80.76440260304955
10000437,0
10000420,0
10000440,0
10003127,0
10000473,0
10000745,360.5794880775155
10000744,0
10003141,0
10003128,0
10002177,0
10000757,0
10004576,0
10000441,0
10000760,68.23394022317025
10003210,42.016834762068825
10004557,0
10003132,39.24896574545528
10003122,22.814321196939304
10003189,0
10002175,0
10004615,0
10004558,0
10000548,0
10000337,0
10004628,32.537639935207345
10007015,2180.9616013622394
10000412,0
10001450,32.88624688979057
10000481,0
10000334,0
10000377,102.19556057356564
10000528,541.5955312041214
10000392,0
10000347,233.42149360623216
10004627,53.42142365302404
10000464,142.47004762958287
10006617,0
10000495,0
