object_id,mean_ozone,matched_fips,dist_to_tract_m
654,53.6125,06013329000,671
655,56.745000000000005,06013313104,1196
656,65.053,06013307201,479
657,65.53,06013302005,836
658,48.644,06041110200,1351
659,51.0485,06013359202,1449
660,53.6125,06013329000,403
661,56.9625,06013313107,757
662,56.9625,06013313107,898
663,57.51649999999999,06013307205,281
664,57.665,06013307102,802
665,61.058499999999995,06109001100,368
666,61.6135,06109002201,2731
667,50.3735,06013364002,134
668,64.929,06013308001,162
669,58.974999999999994,06013302013,226
670,65.936,06013302010,737
671,69.282,06077001500,908
672,51.0485,06013359202,1458
673,59.571,06013330000,215
674,58.116,06013308001,209
675,59.4305,06077003119,158
676,59.4305,06077003119,84
677,59.528999999999996,06077003118,306
678,61.04600000000001,06109001200,1768
679,51.443,06013392200,421
680,50.325,06013360101,254
681,58.059,06013321200,551
682,60.84,06013332000,339
683,64.858,06013307101,431
684,58.116,06013308001,968
685,59.4305,06077003119,79
686,59.4305,06077003119,0
687,58.251,06013355109,891
688,65.936,06013302010,0
689,49.074,06041109002,423
690,50.052,06013363000,332
691,57.943,06013307101,576
692,65.539,06013355111,369
693,65.539,06013355111,113
694,59.2325,06013302014,442
695,67.01,06109001100,2013
696,49.472,06013366001,79
697,49.472,06013366001,512
698,50.893,06013360101,1044
699,59.785,06013328000,98
700,65.539,06013355111,307
701,59.813,06077001101,237
702,51.116,06013366001,226
703,51.116,06013366001,272
704,59.5095,06013302012,489
705,58.251,06013355109,680
706,65.539,06013355111,673
707,61.41,06109004102,1032
708,53.0035,06013336104,252
709,61.656,06013333200,0
710,65.934,06013355110,17
711,58.6815,06013355110,367
712,59.993,06077001200,629
713,48.938,06041111001,527
714,50.987,06041112201,0
715,48.430499999999995,06041112203,243
716,60.008,06013336102,0
717,59.849,06013336101,0
718,48.430499999999995,06041112203,437
719,50.867,06013368002,216
720,50.867,06013368002,600
721,50.698,06013360200,609
722,57.426,06013322000,461
723,52.991,06013336103,206
724,59.849,06013336101,220
725,58.031499999999994,06013355118,149
726,65.934,06013355110,723
727,58.996,06013302009,813
728,58.996,06013302009,735
729,69.14,06077001600,534
730,60.036,06077002701,132
731,53.6115,06013337100,821
732,54.3925,06013334007,254
733,52.42700000000001,06013321103,1585
734,61.901,06013334004,275
735,58.7365,06013303207,413
736,60.113,06077000900,823
737,48.2595,06041119202,923
738,48.913,06013368001,144
739,50.804,06013368001,121
740,59.889,06013337100,701
741,61.901,06013334004,359
742,55.993,06013355307,528
743,66.515,06013303102,466
744,69.422,06077002000,526
745,57.567,06013323000,575
746,61.901,06013334004,232
747,64.105,06013355304,495
748,69.132,06077000100,464
749,50.668,06013369002,906
750,52.589,06013324002,140
751,53.211,06013337202,432
752,54.191,06013334006,967
753,54.822,06013334008,102
754,60.036,06077000600,218
755,49.929,06041119100,786
756,48.2235,06041119201,293
757,67.924,06109005100,1814
758,60.263999999999996,06077000700,321
759,50.3,06013376000,222
760,49.112,06013375000,204
761,69.476,06077000700,413
762,56.077,06013326000,1098
763,67.176,06109004100,1935
764,48.313,06013377000,161
765,58.845,06013303206,915
766,49.753,06013384000,250
767,49.723,06013381000,0
